sol,easting,northing,elevation,latitude,longitude
669,8143397.947,-275597.522,-4467.93,-4.704471494,137.384048966
670,8143445.951,-275679.043,-4469.93,-4.705862919,137.384858823
671,8143383.86,-275767.94,-4472.28,-4.707380238,137.38381131
672,8143405.889,-275836.925,-4473.88,-4.708557694,137.384182953
674,8143405.174,-275831.724,-4473.85,-4.708468922,137.38417089
676,8143389.067,-275834.541,-4473.76,-4.708517004,137.383899155
677,8143389.108,-275853.977,-4472.36,-4.708848743,137.383899847
678,8143397.935,-275919.325,-4471.49,-4.709964121,137.384048764
679,8143399.203,-275919.326,-4471.75,-4.709964138,137.384070156
683,8143433.056,-275951.665,-4470.5,-4.71051611,137.384641276
685,8143409.054,-276001.228,-4467.31,-4.711362065,137.384236348
688,8143362.814,-276066.249,-4464.57,-4.712471862,137.383456251
689,8143362.794,-276075.452,-4463.53,-4.712628941,137.383455914
690,8143371.957,-276103.668,-4461.78,-4.71311054,137.383610499
691,8143362.697,-276121.136,-4460.5,-4.713408689,137.383454277
692,8143338.518,-276130.207,-4459.63,-4.713563515,137.383046363
695,8143334.265,-276150.362,-4459.13,-4.713907527,137.382974612
696,8143335.954,-276169.465,-4457.47,-4.714233582,137.383003107
702,8143336.63,-276182.236,-4456.74,-4.714451561,137.383014511
703,8143325.626,-276209.36,-4456.74,-4.714914521,137.382828867
705,8143326.582,-276212.157,-4456.4,-4.714962261,137.382844996
706,8143316.047,-276224.54,-4457.94,-4.715173618,137.382667264
708,8143316.522,-276223.536,-4457.836,-4.715156487,137.382675278
709,8143318.29,-276236.939,-4458.4,-4.715385247,137.382705104
710,8143316.098,-276229.421,-4458.16,-4.715256928,137.382668124
711,8143315.817,-276228.285,-4458.26,-4.715237538,137.382663383
713,8143317.617,-276221.277,-4457.68,-4.715117924,137.382693751
714,8143299.818,-276193.302,-4457.07,-4.714640439,137.382393471
717,8143320.045,-276216.26,-4456.76,-4.715032292,137.382734712
719,8143320.929,-276217.631,-4457.36,-4.715055693,137.382749626
729,8143282.715,-276172.101,-4457.77,-4.714278574,137.382104933
731,8143267.169,-276177.7,-4457.86,-4.714374139,137.381842662
733,8143213.711,-276182.414,-4457.86,-4.714454599,137.380940793
735,8143190.709,-276158.687,-4458.07,-4.71404962,137.380552736
738,8143163.955,-276169.367,-4458.11,-4.7142319090000004,137.38010138
739,8143142.262,-276174.609,-4458.5,-4.714321381,137.379735406
740,8143133.984,-276179.746,-4458.86,-4.714409061,137.379595751
743,8143049.237,-276181.085,-4459.65,-4.714431915,137.378166018
744,8143018.275,-276188.563,-4459.25,-4.714559552,137.37764367
746,8143011.424,-276192.469,-4458.71,-4.714626221,137.377528089
747,8142984.629,-276271.108,-4460.93,-4.715968453,137.377076042
748,8142967.009,-276282.563,-4459.66,-4.71616397,137.376778782
751,8142994.632,-276363.096,-4459.45,-4.71753853,137.377244798
753,8143007.6,-276380.092,-4460.59,-4.717828623,137.377463576
776,8143007.6,-276380.092,-4460.59,-4.717828623,137.377463576
780,8143012.942,-276396.297,-4458.99,-4.718105214,137.377553699
782,8143012.942,-276396.297,-4458.99,-4.718105214,137.377553699
785,8143017.026,-276394.869,-4458.69,-4.718080841,137.377622599
787,8143027.685,-276405.598,-4457.76,-4.718263966,137.377802422
790,8143033.182,-276409.404,-4457.33,-4.718328928,137.37789516
792,8143026.455,-276419.371,-4455.5,-4.718499048,137.377781671
794,8143010.009,-276428.92,-4453.86,-4.718662032,137.377504218
797,8143006.719,-276377.131,-4460.64,-4.717778083,137.377448713
799,8143010.854,-276372.635,-4461.2,-4.717701344,137.377518473
803,8143008.854,-276377.757,-4460.76,-4.717788768,137.377484732
807,8143006.743,-276391.152,-4459.48,-4.718017398,137.377449118
812,8143017.75,-276394.922,-4458.59,-4.718081745,137.377634813
817,8143032.056,-276411.209,-4457.04,-4.718359736,137.377876164
826,8143026.493,-276420.383,-4455.3,-4.718516321,137.377782313
835,8143006.503,-276428.589,-4453.56,-4.718656383,137.377445069
837,8143009.67,-276432.43,-4452.75,-4.718721942,137.377498498
862,8143002.766,-276388.467,-4459.79,-4.717971569,137.377382024
864,8143006.783,-276389.837,-4459.6,-4.717994953,137.377449793
896,8143005.797,-276402.626,-4458.33,-4.718213239,137.377433159
901,8143009.024,-276428.309,-4454.05,-4.718651604,137.3774876
903,8143006.934,-276429.172,-4453.5,-4.718666334,137.37745234
923,8142998.668,-276433.101,-4452.15,-4.718733395,137.377312888
924,8142997.197,-276439.054,-4451.41,-4.718835002,137.377288071
926,8143000.715,-276442.471,-4451.06,-4.718893325,137.377347422
939,8143000.791,-276441.848,-4451.127,-4.71888269,137.377348702
940,8142997.208,-276450.268,-4450.4,-4.719026406,137.377288257
944,8142999.543,-276443.044,-4450.97,-4.718903105,137.37732765
949,8142992.154,-276456.462,-4450.2,-4.719132127,137.377202993
950,8142967.215,-276481.088,-4449.87,-4.71955245,137.376782257
951,8142953.427,-276493.17,-4450.5,-4.719758669,137.376549645
952,8142886.906,-276536.649,-4452.39,-4.720500781,137.375427395
956,8142851.552,-276575.806,-4452.09,-4.721169123,137.374830952
957,8142788.487,-276578.495,-4454.67,-4.72121502,137.373767007
958,8142774.628,-276573.5,-4453.95,-4.721129764,137.373533198
960,8142688.552,-276614.344,-4456.63,-4.7218269,137.372081043
962,8142687.721,-276615.239,-4456.54,-4.721842176,137.372067024
963,8142673.03,-276623.096,-4456.17,-4.721976282,137.371819178
964,8142644.068,-276623.078,-4455.49,-4.721975975,137.371330572
967,8142579.733,-276648.736,-4456.98,-4.722413912,137.370245201
971,8142576.424,-276653.39,-4456.4,-4.722493348,137.370189376
976,8142640.318,-276667.533,-4454.96,-4.722734745,137.371267307
978,8142641.128,-276668.998,-4454.61,-4.72275975,137.371280972
981,8142645.793,-276684.963,-4451.76,-4.723032245,137.371359673
983,8142644.718,-276704.358,-4450.27,-4.723363284,137.371341537
984,8142640.55,-276709.415,-4449.09,-4.723449598,137.371271221
986,8142639.964,-276701.072,-4449.62,-4.723307198,137.371261335
987,8142635.981,-276667.794,-4454.75,-4.7227392,137.371194139
990,8142584.316,-276668.598,-4453.46,-4.722752922,137.370322519
991,8142579.6,-276686.857,-4447.69,-4.723064572,137.370242957
992,8142575.667,-276691.352,-4447.02,-4.723141294,137.370176605
995,8142566.152,-276709.11,-4447.19,-4.723444392,137.370016081
997,8142566.402,-276711.667,-4446.65,-4.723488036,137.370020299
1030,8142566.698,-276710.671,-4446.8,-4.723471036,137.370025293
1035,8142574.754,-276691.777,-4447.09,-4.723148548,137.370161202
1037,8142577.852,-276687.412,-4447.54,-4.723074045,137.370213468
1039,8142577.75,-276687.737,-4447.35,-4.723079592,137.370211747
1042,8142564.409,-276690.854,-4447.97,-4.723132794,137.369986676
